,TITLE,2010,2011,2012,2013,2014,2015,2016
1,PLoS Computational Biology,5.515,5.215,4.867,4.829,4.62,4.587,4.542
2,BIOINFORMATICS,4.877,5.468,5.323,4.621,4.981,5.766,7.307
3,BMC Systems Biology,3.565,3.148,2.982,2.853,2.435,2.208,2.303
4,BMC BIOINFORMATICS,3.029,2.751,3.024,2.672,2.576,2.435,2.448
5,JOURNAL OF MATHEMATICAL BIOLOGY,3.021,2.963,2.366,2.388,1.846,1.716,1.566
6,Algorithms for Molecular Biology,2.8,1.352,1.606,1.857,1.463,1.439,1.786
7,BIOSTATISTICS,2.769,2.145,2.427,2.236,2.649,2.109,1.798
8,Evolutionary Bioinformatics,2.684,1.229,1.326,1.169,1.452,1.404,1.5
9,Frontiers in Computational Neuroscience,2.586,2.147,2.481,2.233,2.201,2.653,1.821
10,JOURNAL OF THEORETICAL BIOLOGY,2.371,2.208,2.351,2.303,2.116,2.049,2.113
11,STATISTICS IN MEDICINE,2.328,1.877,2.044,2.037,1.825,1.533,1.861
12,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,2.325,2.51,2.439,2.087,1.739,1.871,1.483
13,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,2.038,2.184,2.325,2.022,1.722,1.674,1.754
14,BULLETIN OF MATHEMATICAL BIOLOGY,1.859,1.847,2.023,1.292,1.389,1.326,1.263
15,BIOMETRIKA,1.833,1.912,1.65,1.506,1.418,1.13,1.448
16,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,1.791,1.878,1.79,1.5,1.726,1.797,1.916
17,STATISTICAL METHODS IN MEDICAL RESEARCH,1.768,2.443,2.364,2.957,4.472,4.634,3.953
18,BIOMETRICS,1.764,1.827,1.412,1.521,1.568,1.36,1.329
19,IET Systems Biology,1.735,1.349,1.535,1.672,1.059,0.764,1.048
20,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,1.707,1.676,1.978,2.072,2.493,0,0
21,International Journal of Biomathematics,1.667,0.364,0.633,0.654,0.805,0.938,1.05
22,Theoretical Biology and Medical Modelling,1.604,1.859,1.461,1.265,0.95,1.033,1.46
23,JOURNAL OF COMPUTATIONAL BIOLOGY,1.6,1.546,1.564,1.67,1.737,1.537,1.032
24,MATHEMATICAL BIOSCIENCES,1.593,1.54,1.454,1.489,1.303,1.256,1.246
25,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,1.56,2.086,1.667,1.924,1.596,1.897,1.642
26,BIOMETRICAL JOURNAL,1.438,1.252,1.152,1.236,0.945,0.683,1.075
27,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,1.333,1.818,2.412,1.432,1.658,1.162,1.61
28,COMPUTERS IN BIOLOGY AND MEDICINE,1.127,1.089,1.162,1.475,1.24,1.521,1.836
29,Current Bioinformatics,0.976,0.898,2.017,1.726,0.921,0.77,0.6
30,Computational and Mathematical Methods in Medicine,0.814,0.684,0.791,1.018,0.766,0.887,0.95
31,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0.722,1.21,1.235,0.783,0.91,0.79,0.852
32,Mathematical Modelling of Natural Phenomena,0.714,0.633,0.558,0.725,0.813,0.82,0.952
33,International Journal of Data Mining and Bioinformatics,0.681,0.429,0.393,0.655,0.495,0.528,0.624
34,Statistics and Its Interface,0.474,0.702,0.396,0.456,2.933,1.546,0.444
35,JOURNAL OF BIOLOGICAL SYSTEMS,0.458,0.57,0.734,0.955,0.377,0.479,0.39
36,International Journal for Numerical Methods in Biomedical Engineering,-999.999,1.409,1.31,1.542,2.052,1.849,2.192
37,Molecular Informatics,-999.999,2.39,2.338,2.013,1.647,1.57,1.955
38,BRIEFINGS IN BIOINFORMATICS,0,5.202,5.298,5.919,9.617,8.399,5.134
39,Database-The Journal of Biological Databases and Curation,0,3.179,4.2,4.457,3.372,2.627,3.29
40,BIOSYSTEMS,0,1.784,1.581,1.472,1.548,1.495,1.652
41,ACTA BIOTHEORETICA,0,1.468,0.95,1.231,0.704,0.825,0.646
42,International Journal of Biostatistics,0,1.284,1.356,0.948,0.741,0.667,0.5
43,Mathematical Biosciences and Engineering,0,1.131,1.195,0.866,0.84,1.006,1.035
44,THEORY IN BIOSCIENCES,0,0.979,0.925,1.078,1.226,1.0,0.778
45,Statistics in Biopharmaceutical Research,0,0.543,0.511,0.704,0.618,0.672,0.439
46,Hokkaido Mathematical Journal,0,0.255,0,0,0,0,0
47,Wiley Interdisciplinary Reviews-Computational Molecular Science,0,-999.999,5.738,9.041,11.885,10.234,14.016
48,Journal of Medical Imaging and Health Informatics,0,0,0.642,0.623,0.503,0.877,0.621
49,BioData Mining,0,0,0,1.535,2.024,1.64,1.577
50,Statistical Applications in Genetics and Molecular Biology,0,0,0,1.055,1.127,1.265,0.646
51,Journal of Bioinformatics and Computational Biology,0,0,0,0.931,0.783,0.785,0.8
52,Interdisciplinary Sciences-Computational Life Sciences,0,0,0,0.672,0.662,0.853,0.753
53,IEEE Journal of Biomedical and Health Informatics,0,0,0,-999.999,1.44,2.093,3.451
54,Research Synthesis Methods,0,0,0,0,3.898,2.462,3.018
55,Frontiers in Neuroinformatics,0,0,0,0,3.261,3.047,3.87
56,Journal of Biomedical Semantics,0,0,0,0,2.262,1.62,1.845
57,Journal of Biological Dynamics,0,0,0,0,1.033,1.147,1.279
58,Computational Intelligence and Neuroscience,0,0,0,0,0.596,0.43,1.215
59,GENETIC EPIDEMIOLOGY,0,0,0,0,0,0,1.884
