,TITLE,LINK,JOURNAL_ID,YEAR,LINK_CIT
1,Polarizable force field development for lipids and their efficient applications in membrane proteins,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=1,47,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d1%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000407492200002&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=1&recid=WOS:000407492200002&PREC_REFCOUNT=165&fromRightPanel=true
2,About P-glycoprotein: a new drugable domain is emerging from structural data,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=2,47,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d2%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000407492200005&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=2&recid=WOS:000407492200005&PREC_REFCOUNT=160&fromRightPanel=true
3,Molecular 'time-machines' to unravel key biological events for drug design,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=3,47,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d3%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000403439500003&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=3&recid=WOS:000403439500003&PREC_REFCOUNT=137&fromRightPanel=true
4,Hypercoordinate iodine(III) promoted reactions and catalysis: an update on current mechanistic understanding,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=4,47,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d4%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000399013700004&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=4&recid=WOS:000399013700004&PREC_REFCOUNT=98&fromRightPanel=true
5,Prediction of two-dimensional materials by the global optimization approach,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=5,47,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d5%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000399013100002&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=5&recid=WOS:000399013100002&PREC_REFCOUNT=132&fromRightPanel=true
6,Application of quantum mechanics/molecular mechanics methods in the study of enzymatic reaction mechanisms,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=6,47,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d6%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000399013100004&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=6&recid=WOS:000399013100004&PREC_REFCOUNT=223&fromRightPanel=true
7,Using PyMOL as a platform for computational drug design,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=7,47,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d7%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000399013100006&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=7&recid=WOS:000399013100006&PREC_REFCOUNT=53&fromRightPanel=true
8,Organic-inorganic interface simulation for new material discoveries,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=8,47,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d8%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000399010400002&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=8&recid=WOS:000399010400002&PREC_REFCOUNT=110&fromRightPanel=true
9,Computing optical properties of ultra-thin crystals,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=9,47,2016,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d9%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000379267300002&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=9&recid=WOS:000379267300002&PREC_REFCOUNT=129&fromRightPanel=true
10,Electride: from computational characterization to theoretical design,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=47&SID=8FxZumAfMhzb35WM9gH&page=1&doc=10,47,2016,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d47%26log_event%3dyes%26product%3dWOS%26SID%3d8FxZumAfMhzb35WM9gH%26viewType%3dfullRecord%26doc%3d10%26page%3d1&srcDesc=RET2WOS&srcAlt=Back+to+Web+of+Science&UT=WOS:000379267300006&search_mode=CitedRefList&SID=8FxZumAfMhzb35WM9gH&parentProduct=WOS&parentQid=47&parentDoc=10&recid=WOS:000379267300006&PREC_REFCOUNT=60&fromRightPanel=true
