,TITLE,JOURNAL_ID,YEAR,CITED_IN,CITED_OUT
1,Polarizable force field development for lipids and their efficient applications in membrane proteins,47,2017,0,161
2,About P-glycoprotein: a new drugable domain is emerging from structural data,47,2017,0,151
3,Molecular 'time-machines' to unravel key biological events for drug design,47,2017,0,127
4,Hypercoordinate iodine(III) promoted reactions and catalysis: an update on current mechanistic understanding,47,2017,0,96
5,Prediction of two-dimensional materials by the global optimization approach,47,2017,0,132
6,Application of quantum mechanics/molecular mechanics methods in the study of enzymatic reaction mechanisms,47,2017,0,214
7,Using PyMOL as a platform for computational drug design,47,2017,0,46
8,Organic-inorganic interface simulation for new material discoveries,47,2017,0,99
9,Computing optical properties of ultra-thin crystals,47,2016,0,126
10,Electride: from computational characterization to theoretical design,47,2016,0,60
11,Making graphene nanoribbons: a theoretical exploration,47,2016,0,49
12,Atomistic molecular dynamics simulations of ATP-binding cassette transporters,47,2016,0,75
13,Rh chemistry through the eyes of theory,47,2016,0,48
14,Phosphorene: what can we know from computations?,47,2016,1,82
15,Recent advances in hybrid graphene-BN planar structures,47,2016,0,67
16,Boron nitride materials: an overview from 0D to 3D (nano)structures,47,2015,0,52
17,GENESIS: a hybrid-parallel and multi-scale molecular dynamics simulator with enhanced sampling algorithms for biomolecular and cellular simulations,47,2015,0,95
18,Correct electrostatic treatment of noncovalent interactions: the importance of polarization,47,2015,0,34
19,Multiresolution calculation of ionic liquids,47,2015,0,86
20,Electronic properties and charge carrier mobilities of graphynes and graphdiynes from first principles,47,2015,0,47
21,Polarizable force fields for molecular dynamics simulations of biomolecules,47,2015,2,97
22,Challenges in computational organic chemistry,47,2014,0,30
23,"Analytical derivatives, forces, force constants, molecular geometries, and related response properties in electronic structure theory",47,2014,0,53
24,The Dalton quantum chemistry program system,47,2014,0,147
25,Turbomole,47,2014,0,31
26,ChemShell-a modular software package for QM/MM simulations,47,2014,0,53
27,Compliance constants: are they of any real use?,47,2014,0,12
28,Theoretical studies of nucleic acids folding,47,2014,0,68
29,Semiempirical quantum-chemical methods,47,2014,1,105
30,Theory and simulation of atom tunneling in chemical reactions,47,2014,0,69
31,CP2K: atomistic simulations of condensed matter systems,47,2014,0,80
32,Newton-X: a surface-hopping program for nonadiabatic molecular dynamics,47,2014,0,35
33,Coarse-grained methods for polymeric materials: enthalpy- and entropy-driven models,47,2014,0,54
34,Understanding palladium complexes structures and reactivities: beyond classical point of view,47,2013,0,42
35,Elementary electron transfer reactions: from basic concepts to recent computational advances,47,2013,0,102
36,Understanding the dynamics behind photoisomerization of light-driven molecular rotary motors,47,2013,0,68
37,Density functional theory in materials science,47,2013,0,56
38,Coarse-grained models of protein folding as detailed tools to connect with experiments,47,2013,0,59
39,"Druggability predictions: methods, limitations, and applications",47,2013,0,82
40,In silico applications of bioisosterism in contemporary medicinal chemistry practice,47,2013,0,78
41,Theoretical models of DNA flexibility,47,2013,0,41
42,High-throughput molecular dynamics simulations: toward a dynamic view of macromolecular structure,47,2013,0,74
43,Atomistic simulations of nucleosomes,47,2013,0,49
44,The description of electronic processes inside proteins from Car- Parrinello molecular dynamics: chemical transformations,47,2013,1,107
45,Characterization of pericyclic steps in the mechanisms of Gold(I) catalyzed rearrangement of alkynes,47,2013,0,93
46,Shape-based similarity searching in chemical databases,47,2013,0,73
47,Direct chemical dynamics simulations: coupling of classical and quasiclassical trajectories with electronic structure theory,47,2013,0,0
48,Q-Chem: an engine for innovation,47,2013,0,58
49,MOLCAS-a software for multiconfigurational quantum chemistry calculations,47,2013,0,15
50,Automated systematic nomenclature generation for organic compounds,47,2013,0,14
51,An overview of the Amber biomolecular simulation package,47,2013,4,66
52,Electron transport and optical properties of curved aromatics,47,2013,0,59
53,sigma-Holes,47,2013,1,43
54,Mechanical properties of silicon nanowires,47,2012,0,54
55,Exploring structure-activity data using the landscape paradigm,47,2012,0,1
56,Fragment library design considerations,47,2012,0,0
57,Low entanglement wavefunctions,47,2012,0,44
58,Coarse-grained models of water,47,2012,0,57
59,A survey of computational molecular science using graphics processing units,47,2012,0,25
60,Resummation methods,47,2012,0,0
61,Essential dynamics: foundation and applications,47,2012,0,59
62,New advances in metadynamics,47,2012,3,63
63,A refinement of everyday thinking: the energetic span model for kinetic assessment of catalytic cycles,47,2012,1,0
64,deMon2k,47,2012,0,24
65,pi-Conjugation,47,2012,0,46
66,PSI4: an open-source ab initio electronic structure program,47,2012,1,41
67,Next challenges in protein-protein docking: from proteome to interactome and beyond,47,2012,0,60
68,Transition metal catalysis by density functional theory and density functional theory/molecular mechanics,47,2012,1,49
69,Polarizable continuum model,47,2012,0,0
70,Computational toxicology: a tool for all industries,47,2012,0,0
71,Hansch analysis 50 years on,47,2012,0,59
72,Ab initio calculation of magnetic circular dichroism,47,2012,0,66
73,Synergistic use of NMR and MD simulations to study the structural heterogeneity of proteins,47,2012,0,65
74,Optimization of protein models,47,2012,0,86
75,Density-functional tight binding - an approximate density-functional theory method,47,2012,1,25
76,Local modes in vibration-rotation spectroscopy,47,2012,0,74
77,Homodesmotic reactions for thermochemistry,47,2012,0,86
78,Multi-electron integrals,47,2012,0,40
79,The ONIOM method: its foundation and applications to metalloenzymes and photobiology,47,2012,1,93
80,Recent developments in the PQS program,47,2012,0,35
81,The ORCA program system,47,2012,0,24
82,Two personal perspectives on a key issue in contemporary 3D QSAR,47,2012,0,22
83,Explicitly correlated electronic structure theory from R12/F12 ansatze,47,2012,0,52
84,Coupled-cluster theory and its equation-of-motion extensions,47,2012,1,69
85,Carbodicarbenes-divalent carbon(0) compounds exhibiting carbon-carbon donor-acceptor bonds,47,2011,0,33
86,NWChem: scalable parallel computational chemistry,47,2011,0,15
87,Software design of ACES III with the super instruction architecture,47,2011,1,3
88,Proline-derived organocatalysis and synergism between theory and experiments,47,2011,0,96
89,Fluctional molecules,47,2011,0,59
90,First-principles prediction of acidities in the gas and solution phase,47,2011,0,49
91,GROMACS-the road ahead,47,2011,0,34
92,Algorithms for chemoinformatics,47,2011,0,18
93,The evolution of the RCSB Protein Data Bank website,47,2011,0,14
94,Polarization effects in molecular interactions,47,2011,1,82
95,Cross-Conjugation,47,2011,1,34
96,The atomistic simulation of DNA,47,2011,1,65
97,The quantum chemical cluster approach for modeling enzyme reactions,47,2011,1,76
98,Correlation diagram approach as a tool for interpreting chemistry: an introductory overview,47,2011,0,50
99,The Cambridge Structural Database: experimental three-dimensional information on small molecules is a vital resource for interdisciplinary research and learning,47,2011,0,32
100,"Green's function methods for calculating ionization potentials, electron affinities, and excitation energies",47,2011,0,60
101,Cooperative dynamics of proteins unraveled by network models,47,2011,0,76
102,Excited-state dynamics,47,2011,0,119
103,Rotational barriers in alkanes,47,2011,0,50
104,COLUMBUS-a program system for advanced multireference theory calculations,47,2011,1,25
105,Pseudopotentials and modelpotentials,47,2011,0,41
106,Low-resolution structural approaches to study biomolecular assemblies,47,2011,0,76
107,The electrostatic potential: an overview,47,2011,0,59
108,A primer on qualitative valence bond theory - a theory coming of age,47,2011,2,40
109,Chemoinformatics: a history,47,2011,0,86
110,Computational chemogenomics,47,2011,0,55
111,Maximum common subgraph isomorphism algorithms and their applications in molecular science: a review,47,2011,0,52
112,Noncovalent interactions in biochemistry,47,2011,1,88
113,The empirical valence bond model: theory and applications,47,2011,1,116
114,Discrete molecular dynamics,47,2011,0,52
115,Organocatalysis: Cinchona catalysts,47,2011,0,47
116,Molecular dynamics - potential of mean force calculations as a tool for understanding ion permeation and selectivity in narrow channels,47,2006,1,0
117,Ion permeation through a narrow channel: Using gramicidin to ascertain all-atom molecular dynamics potential of mean force methodology and biomolecular force fields,47,2006,2,0
118,Gramicidin A channel as a test ground for molecular dynamics force fields,47,2003,1,0
119,Energetics of ion conduction through the gramicidin channel,47,2004,1,0
120,Parametrizing a polarizable force field from ab initio data. I. The fluctuating point charge model,47,1999,2,0
121,Particle-based implicit solvent model for biosimulations: Application to proteins and nucleic acids hydration,47,2006,1,0
122,Water permeation through DMPC lipid bilayers using polarizable charge equilibration force fields,47,2011,2,0
123,Recent applications and developments of charge equilibration force fields for modeling dynamical charges in classical molecular dynamics simulations,47,2012,2,0
124,PLUMED: A portable plugin for free-energy calculations with molecular dynamics,47,2009,2,0
125,Solvent-free simulations of fluid membrane bilayers,47,2004,2,0
126,CHARMM: The Biomolecular Simulation Program,47,2009,6,0
127,Noncontact dipole effects on channel permeation. I. Experiments with (5F-Indole)Trp(13) gramicidin A channels,47,1998,1,0
128,Electrical response in chemical potential equalization schemes,47,1999,1,0
129,Development and application of a ReaxFF reactive force field for oxidative dehydrogenation on vanadium oxide catalysts,47,2008,1,0
130,Water from Ambient to Supercritical Conditions with the AMOEBA Model,47,2013,1,0
131,A Polarizable Force Field of Dipalmitoylphosphatidylcholine Based on the Classical Drude Model for Molecular Dynamics Simulations of Lipids,47,2013,2,0
132,"Molecular mechanical models for organic and biological systems going beyond the atom centered two body additive approximation: Aqueous solution free energies of methanol and N-methyl acetamide, nucleic acid base, and amide hydrogen bonding and chloroform/water partition coefficients of the nucleic acid bases",47,2001,3,0
133,Polarization effects in molecular mechanical force fields,47,2009,2,0
134,Persistence of phase coexistence in disaturated phosphatidylcholine monolayers at high surface pressures,47,1999,1,0
