,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,1,47,116,60,2006
2,1,47,117,61,2006
3,1,47,118,61,2003
4,1,47,119,62,2004
5,1,47,21,63,2015
6,1,47,120,64,1999
7,1,47,121,65,2006
8,1,47,122,66,2011
9,1,47,123,67,2012
10,1,47,124,68,2009
11,1,47,125,64,2004
12,1,47,126,69,2009
13,1,47,127,61,1998
14,1,47,128,64,1999
15,1,47,129,70,2008
16,1,47,130,71,2013
17,1,47,131,71,2013
18,1,47,132,69,2001
19,1,47,133,72,2009
20,1,47,134,61,1999
21,1,47,135,61,2009
22,1,47,136,71,2009
23,1,47,137,73,2008
24,1,47,138,74,2014
25,1,47,139,75,2012
26,1,47,140,76,2012
27,1,47,141,62,2007
28,1,47,142,77,1981
29,1,47,143,78,2008
30,1,47,144,69,2009
31,1,47,145,65,2011
32,1,47,146,64,2006
33,1,47,147,79,2008
34,1,47,148,64,2002
35,1,47,149,80,1992
36,1,47,150,64,2013
37,1,47,151,81,2016
38,1,47,152,64,2008
39,1,47,153,80,2009
40,1,47,154,82,2013
41,1,47,155,83,2014
42,1,47,156,61,2014
43,1,47,157,84,2014
44,1,47,158,85,2012
45,1,47,159,71,2011
46,1,47,160,71,2015
47,1,47,161,86,2013
48,1,47,162,87,2003
49,1,47,163,69,2009
50,1,47,164,62,2008
51,1,47,165,88,2004
52,1,47,166,89,2002
53,1,47,167,62,2005
54,1,47,168,90,2003
55,1,47,169,71,2010
56,1,47,170,61,2005
57,1,47,171,61,2008
58,1,47,172,75,2012
59,1,47,173,65,2009
60,1,47,174,66,2006
61,1,47,175,64,2003
62,1,47,176,64,2003
63,1,47,177,71,2015
64,1,47,178,91,2016
65,1,47,179,71,2012
66,1,47,180,92,2004
67,1,47,181,65,2013
68,1,47,182,71,2006
69,1,47,183,65,2013
70,1,47,184,67,2009
71,1,47,185,69,2012
72,1,47,186,70,2015
73,1,47,187,65,2016
74,1,47,188,71,2007
75,1,47,189,71,2004
76,1,47,190,93,1996
77,1,47,191,93,2006
78,1,47,192,69,2013
79,1,47,193,69,2011
80,1,47,194,71,2010
81,1,47,195,94,2004
82,1,47,196,94,2001
83,1,47,197,70,2010
84,1,47,198,95,2009
85,1,47,199,96,1988
86,1,47,200,70,2009
87,1,47,201,97,1991
88,1,47,202,71,2013
89,1,47,203,80,1983
90,1,47,204,71,2015
91,1,47,205,69,2004
92,1,47,206,69,2004
93,1,47,207,80,2009
94,1,47,208,64,2006
95,1,47,209,65,2016
96,1,47,210,69,2016
97,1,47,211,69,2005
98,1,47,212,94,2003
99,1,47,213,98,1991
100,1,47,214,69,2002
101,1,47,215,71,2004
102,1,47,216,71,2003
103,1,47,217,99,2002
104,1,47,218,87,2009
105,1,47,219,65,2013
106,1,47,220,100,2002
107,1,47,221,61,1991
108,1,47,222,86,2011
109,1,47,223,101,2009
110,1,47,51,63,2013
111,1,47,224,65,2015
112,1,47,225,69,2014
113,1,47,226,71,2015
114,1,47,227,71,2014
115,1,47,228,84,2015
116,1,47,229,102,2009
117,1,47,230,65,2014
118,1,47,231,65,2013
119,1,47,232,64,2015
120,1,47,233,64,2008
121,1,47,234,71,2009
122,1,47,235,61,1990
123,1,47,236,103,1990
124,1,47,237,104,1985
125,1,47,238,70,2013
126,1,47,239,64,2003
127,1,47,240,71,1999
128,1,47,241,66,1981
129,1,47,242,105,1990
130,1,47,243,106,2003
131,1,47,244,65,2015
132,1,47,245,107,1981
133,1,47,246,61,1998
134,1,47,247,108,1999
135,1,47,248,64,2004
136,1,47,249,94,2003
137,1,47,250,94,2001
138,1,47,251,80,2005
139,1,47,252,101,2003
140,1,47,253,61,2010
141,1,47,254,64,2010
142,1,47,255,71,2005
143,1,47,256,64,2011
144,1,47,257,71,2013
145,1,47,258,62,2006
146,1,47,259,65,2013
147,1,47,260,65,2015
148,1,47,261,69,1988
149,1,47,262,104,1996
150,1,47,263,64,2011
151,1,47,264,67,2012
152,1,47,265,71,2010
153,1,47,266,71,2008
154,1,47,267,109,2011
155,1,47,268,110,2013
156,1,47,269,111,2015
157,1,47,270,69,2014
158,1,47,271,112,2010
159,1,47,272,69,1998
160,1,47,273,64,2013
161,1,47,274,65,2010
162,2,47,275,104,2008
163,2,47,276,88,2009
164,2,47,277,62,1994
165,2,47,278,113,2006
166,2,47,279,114,2005
167,2,47,280,115,2009
168,2,47,281,116,2002
169,2,47,282,117,2012
170,2,47,283,118,2003
171,2,47,284,88,2001
172,2,47,285,88,2006
173,2,47,286,64,2013
174,2,47,287,119,2012
175,2,47,288,120,2013
176,2,47,289,62,1998
177,2,47,290,121,1992
178,2,47,291,117,1996
179,2,47,292,90,2007
180,2,47,293,87,2006
181,2,47,294,104,2005
182,2,47,295,122,1999
183,2,47,296,121,1997
184,2,47,297,123,2015
185,2,47,298,124,2007
186,2,47,299,125,1995
187,2,47,300,106,1990
188,2,47,301,121,1996
189,2,47,302,113,2008
190,2,47,303,126,2015
191,2,47,304,127,2015
192,2,47,305,128,2013
193,2,47,306,128,2011
194,2,47,307,65,2015
195,2,47,308,65,2012
196,2,47,309,129,2013
197,2,47,310,79,2015
198,2,47,311,63,2015
199,2,47,312,116,2016
200,2,47,313,126,2004
201,2,47,314,71,2013
202,2,47,315,104,2014
203,2,47,316,130,2009
204,2,47,317,131,2012
205,2,47,318,132,2006
206,2,47,319,133,2008
207,2,47,320,134,2002
208,2,47,321,135,1992
209,2,47,322,104,1998
210,2,47,323,122,2001
211,2,47,324,87,1966
212,2,47,325,87,2012
213,2,47,326,73,2009
214,2,47,327,103,1976
215,2,47,328,121,2013
216,2,47,329,121,2010
217,2,47,330,136,2009
218,2,47,331,62,2014
219,2,47,332,104,1998
220,2,47,333,135,2007
221,2,47,334,121,2008
222,2,47,335,137,2014
223,2,47,336,104,1996
224,2,47,337,124,2016
225,2,47,338,124,2010
226,2,47,339,104,2016
227,2,47,340,104,2013
228,2,47,341,104,2013
229,2,47,342,121,2015
230,2,47,343,121,2015
231,2,47,344,121,2014
232,2,47,345,121,2014
233,2,47,346,121,2013
234,2,47,347,121,2012
235,2,47,348,121,2008
236,2,47,349,114,2006
237,2,47,350,121,2003
238,2,47,351,121,2002
239,2,47,352,121,2001
240,2,47,353,121,2000
241,2,47,354,121,1999
242,2,47,355,121,1997
243,2,47,356,121,1997
244,2,47,357,121,1994
245,2,47,358,73,2013
246,2,47,359,121,2003
247,2,47,360,104,2012
248,2,47,361,138,1999
249,2,47,362,104,2015
250,2,47,363,117,2001
251,2,47,364,139,2004
252,2,47,365,80,2015
253,2,47,366,140,2016
254,2,47,367,90,2007
255,2,47,368,65,2012
256,2,47,369,90,2006
257,2,47,370,141,2016
258,2,47,371,142,2006
259,2,47,372,133,2013
260,2,47,373,116,2011
261,2,47,374,114,1998
262,2,47,375,62,1989
263,2,47,376,143,2001
264,2,47,377,144,1999
265,2,47,378,145,2014
266,2,47,379,104,2003
267,2,47,380,121,1990
268,2,47,381,2,2010
269,2,47,382,122,1999
270,2,47,383,146,2007
271,2,47,384,88,2005
272,2,47,385,147,1993
273,2,47,386,104,1997
274,2,47,387,122,1998
275,2,47,388,148,2003
276,2,47,389,146,2009
277,2,47,390,90,1995
278,2,47,391,149,1995
279,2,47,392,150,1997
280,2,47,393,122,1997
281,2,47,394,122,1997
282,2,47,395,62,2013
283,2,47,396,104,2006
284,2,47,397,121,2010
285,2,47,398,104,2013
286,2,47,399,121,1992
287,2,47,400,122,1994
288,2,47,401,151,2003
289,2,47,402,128,2015
290,2,47,403,145,2013
291,2,47,404,152,2014
292,2,47,405,91,2014
293,2,47,406,102,2015
294,2,47,407,117,1984
295,2,47,408,117,1981
296,2,47,409,153,1987
297,2,47,410,154,1991
298,2,47,411,61,2012
299,2,47,412,121,2001
300,2,47,413,121,1995
301,2,47,414,155,2000
302,2,47,415,87,2017
303,2,47,416,71,2015
304,2,47,417,62,2007
305,2,47,418,62,2013
306,2,47,419,156,2016
307,2,47,420,121,2013
308,2,47,421,104,2012
309,2,47,422,157,2005
310,2,47,423,73,2015
311,2,47,424,158,2016
312,2,47,425,151,2014
313,3,47,426,159,2006
314,3,47,427,65,2015
315,3,47,428,160,2014
316,3,47,429,61,2009
317,3,47,430,61,2008
318,3,47,431,161,2006
319,3,47,432,91,2010
320,3,47,433,162,2014
321,3,47,434,13,2011
322,3,47,435,13,2010
323,3,47,436,128,2015
324,3,47,437,128,2013
325,3,47,438,63,2011
326,3,47,439,88,2003
327,3,47,440,65,2014
328,3,47,441,163,2015
329,3,47,442,164,2011
330,3,47,443,104,2011
331,3,47,444,80,2005
332,3,47,445,65,2012
333,3,47,446,106,2006
334,3,47,447,71,2009
335,3,47,448,130,2000
336,3,47,449,100,2015
337,3,47,450,65,2016
338,3,47,451,80,2010
339,3,47,452,71,2015
340,3,47,453,78,2005
341,3,47,454,64,1993
342,3,47,455,64,2008
343,3,47,456,80,2008
344,3,47,457,112,2012
345,3,47,458,165,2015
346,3,47,459,62,2008
347,3,47,460,62,2011
348,3,47,461,166,2010
349,3,47,462,79,2005
350,3,47,463,167,2010
351,3,47,464,62,2010
352,3,47,465,90,2006
353,3,47,466,168,2012
354,3,47,467,165,2017
355,3,47,468,106,1999
356,3,47,469,120,2011
357,3,47,470,169,2009
358,3,47,471,170,1998
359,3,47,472,4,2005
360,3,47,473,128,2011
361,3,47,474,2,2014
362,3,47,475,171,2015
363,3,47,476,170,1991
364,3,47,477,130,2017
365,3,47,478,63,2014
366,3,47,479,61,1997
367,3,47,480,128,2012
368,3,47,481,69,2013
369,3,47,482,79,2014
370,3,47,483,131,2014
371,3,47,484,170,1998
372,3,47,485,97,2009
373,3,47,486,172,2011
374,3,47,487,61,1999
375,3,47,488,61,2010
376,3,47,489,173,2012
377,3,47,490,71,2005
378,3,47,491,62,2002
379,3,47,492,62,2010
380,3,47,493,88,2011
381,3,47,494,69,1997
382,3,47,495,120,2009
383,3,47,496,65,2009
384,3,47,497,62,2010
385,3,47,498,174,2006
386,3,47,499,61,2000
387,3,47,500,97,2000
388,3,47,501,128,2014
389,3,47,502,69,2004
390,3,47,503,120,2015
391,3,47,504,79,2011
392,3,47,188,71,2007
393,3,47,505,69,2010
394,3,47,506,71,2009
395,3,47,507,87,1977
396,3,47,508,161,2009
397,3,47,509,120,2011
398,3,47,510,90,2004
399,3,47,511,65,2008
400,3,47,512,120,2008
401,3,47,513,69,2014
402,3,47,514,64,2013
403,3,47,515,175,2012
404,3,47,516,176,1997
405,3,47,517,128,2014
406,3,47,518,80,2012
407,3,47,519,80,2007
408,3,47,520,71,2007
409,3,47,521,177,2012
410,3,47,522,62,2003
411,3,47,523,167,2002
412,3,47,524,178,2000
413,3,47,525,179,2013
414,3,47,526,130,2004
415,3,47,527,121,2003
416,3,47,528,71,2001
417,3,47,529,120,2012
418,3,47,530,61,2008
419,3,47,531,118,2007
420,3,47,532,71,2006
421,3,47,533,64,2002
422,3,47,534,180,2009
423,3,47,535,71,2007
424,3,47,536,66,1999
425,3,47,537,173,2004
426,3,47,538,106,1986
427,3,47,539,181,2015
428,3,47,540,61,2008
429,3,47,541,164,2013
430,3,47,542,80,2007
431,3,47,543,65,2014
432,3,47,544,80,2009
433,3,47,545,137,2009
434,3,47,546,61,2008
435,3,47,547,120,2012
436,3,47,548,61,2010
437,3,47,549,182,2013
438,3,47,550,65,2011
439,3,47,551,104,2012
440,4,47,552,183,2014
441,4,47,553,184,2006
442,4,47,554,185,2014
443,4,47,555,186,2013
444,4,47,556,185,2015
445,4,47,557,187,2009
446,4,47,558,186,2012
447,4,47,559,185,2012
448,4,47,560,185,2016
449,4,47,561,188,1999
450,4,47,562,91,2015
451,4,47,563,100,2014
452,4,47,564,186,2011
453,4,47,565,79,2016
454,4,47,566,187,2005
455,4,47,567,189,2009
456,4,47,568,80,2013
457,4,47,569,190,2014
458,4,47,570,187,2009
459,4,47,571,191,2007
460,4,47,572,185,2015
461,4,47,573,80,2014
462,4,47,574,185,2016
463,4,47,575,183,2012
464,4,47,576,184,2012
465,4,47,577,80,1951
466,4,47,578,191,2014
467,4,47,579,192,2016
468,4,47,580,184,1998
469,4,47,581,193,2015
470,4,47,582,194,2015
471,4,47,583,195,2015
472,4,47,584,187,2015
473,4,47,585,183,2016
474,4,47,586,196,2015
475,4,47,587,197,2011
476,4,47,588,198,2010
477,4,47,589,187,2014
478,4,47,590,184,1982
479,4,47,591,184,1977
480,4,47,592,199,1999
481,4,47,593,80,1983
482,4,47,594,200,1997
483,4,47,595,187,2016
484,4,47,596,183,2015
485,4,47,597,185,2012
486,4,47,598,80,1990
487,4,47,599,83,2013
488,4,47,600,201,2016
489,4,47,601,100,2016
490,4,47,602,187,1969
491,4,47,603,202,2015
492,4,47,604,183,2016
493,4,47,605,187,2011
494,4,47,606,80,2005
495,4,47,607,187,2006
496,4,47,608,88,2011
497,4,47,609,203,1999
498,4,47,610,80,1995
499,4,47,611,187,2005
500,4,47,612,185,2013
501,4,47,613,64,1951
502,4,47,614,187,2008
503,4,47,615,204,2010
504,4,47,616,205,2014
505,4,47,617,80,1990
506,4,47,618,80,1986
507,4,47,619,202,2007
508,4,47,620,187,2011
509,4,47,621,205,2013
510,4,47,622,206,2013
511,4,47,623,206,2012
512,4,47,624,185,2016
513,4,47,625,69,2015
514,4,47,626,69,2014
515,4,47,627,100,2015
516,4,47,628,198,2014
517,4,47,629,187,2013
518,4,47,630,198,2012
519,4,47,631,80,2012
520,4,47,632,80,2012
521,4,47,633,205,2014
522,4,47,634,80,2005
523,4,47,635,91,2014
524,4,47,636,79,2012
525,4,47,637,207,2013
526,4,47,638,187,2013
527,4,47,639,187,2010
528,4,47,640,80,2009
529,4,47,641,189,2013
530,4,47,642,193,2016
531,4,47,643,205,2016
532,4,47,644,80,2016
533,4,47,645,91,2016
534,4,47,646,91,2008
535,4,47,647,80,2015
536,5,47,648,85,2008
537,5,47,649,208,1981
538,5,47,650,209,2010
539,5,47,651,68,2013
540,5,47,652,210,1987
541,5,47,653,88,2006
542,5,47,654,211,2007
543,5,47,655,69,2007
544,5,47,656,212,2010
545,5,47,657,88,2011
546,5,47,658,106,2012
547,5,47,659,84,2014
548,5,47,660,84,2013
549,5,47,661,106,1995
550,5,47,662,70,2014
551,5,47,663,79,2007
552,5,47,664,213,2012
553,5,47,665,80,2011
554,5,47,666,70,2015
555,5,47,667,211,2013
556,5,47,668,106,2014
557,5,47,669,212,2007
558,5,47,670,72,2009
559,5,47,671,68,2006
560,5,47,672,64,2004
561,5,47,673,211,2008
562,5,47,674,85,2015
563,5,47,675,214,1998
564,5,47,676,98,1993
565,5,47,677,85,2006
566,5,47,678,215,2014
567,5,47,679,106,1985
568,5,47,680,85,2011
569,5,47,14,63,2016
570,5,47,681,216,2003
571,5,47,682,217,1999
572,5,47,683,88,1983
573,5,47,684,85,1994
574,5,47,685,218,2005
575,5,47,686,215,2013
576,5,47,687,209,2014
577,5,47,688,219,2014
578,5,47,689,187,2014
579,5,47,690,219,2014
580,5,47,691,220,2012
581,5,47,692,87,2011
582,5,47,693,68,2011
583,5,47,694,64,2013
584,5,47,695,221,2015
585,5,47,696,222,2014
586,5,47,697,187,2016
587,5,47,698,80,2014
588,5,47,699,211,2015
589,5,47,700,80,2011
590,5,47,701,64,2012
591,5,47,702,68,2013
592,5,47,703,219,2016
593,5,47,704,106,2010
594,5,47,705,106,2003
595,5,47,706,223,2005
596,5,47,707,221,2011
597,5,47,708,87,2005
598,5,47,709,224,2006
599,5,47,710,88,2004
600,5,47,711,225,2006
601,5,47,712,64,2006
602,5,47,713,100,2011
603,5,47,714,64,2009
604,5,47,715,72,2008
605,5,47,716,226,2012
606,5,47,717,213,2011
607,5,47,718,72,2011
608,5,47,719,212,2008
609,5,47,720,224,2007
610,5,47,721,106,2006
611,5,47,722,88,2014
612,5,47,723,222,2014
613,5,47,724,85,2016
614,5,47,725,227,2014
615,5,47,726,211,2008
616,5,47,727,85,2015
617,5,47,728,187,1996
618,5,47,729,211,2010
619,5,47,730,78,1999
620,5,47,731,228,1997
621,5,47,732,187,2012
622,5,47,733,70,2014
623,5,47,734,63,2015
624,5,47,735,72,2013
625,5,47,736,85,2007
626,5,47,737,211,2013
627,5,47,738,229,2008
628,5,47,739,94,1997
629,5,47,740,219,2015
630,5,47,741,230,2016
631,5,47,742,213,2011
632,5,47,743,68,2012
633,5,47,744,64,2012
634,5,47,745,85,2010
635,5,47,746,231,2015
636,5,47,747,222,2016
637,5,47,748,211,2015
638,5,47,749,85,1992
639,5,47,750,221,2011
640,5,47,751,87,1986
641,5,47,752,232,2004
642,5,47,753,79,1999
643,5,47,754,85,2011
644,5,47,755,221,2012
645,5,47,756,211,2009
646,5,47,757,222,2014
647,5,47,758,85,2010
648,5,47,759,106,2013
649,5,47,760,215,2012
650,5,47,761,211,2016
651,5,47,762,80,2015
652,5,47,763,70,2012
653,5,47,764,80,2016
654,5,47,765,211,2016
655,5,47,766,219,2015
656,5,47,767,128,2015
657,5,47,768,64,2013
658,5,47,769,87,2005
659,5,47,770,230,2015
660,5,47,771,88,2011
661,5,47,772,85,2016
662,5,47,773,79,2015
663,5,47,774,211,2013
664,5,47,775,85,2016
665,5,47,776,106,2014
666,5,47,777,85,2015
667,5,47,778,106,2015
668,6,47,779,94,1999
669,6,47,780,91,1993
670,6,47,781,183,2016
671,6,47,782,65,2014
672,6,47,783,66,1996
673,6,47,21,63,2015
674,6,47,784,98,1996
675,6,47,785,63,2015
676,6,47,438,63,2011
677,6,47,786,64,1996
678,6,47,787,233,1988
679,6,47,788,104,2008
680,6,47,789,91,2014
681,6,47,790,234,2000
682,6,47,791,183,2014
683,6,47,792,65,2010
684,6,47,793,69,2008
685,6,47,794,180,2010
686,6,47,795,79,2012
687,6,47,126,69,2009
688,6,47,796,69,1983
689,6,47,797,100,2002
690,6,47,798,91,2006
691,6,47,799,91,2015
692,6,47,800,183,2014
693,6,47,801,89,1996
694,6,47,802,185,2014
695,6,47,803,106,1985
696,6,47,804,65,2011
697,6,47,805,100,2015
698,6,47,806,63,2014
699,6,47,807,91,2015
700,6,47,79,63,2012
701,6,47,808,235,2014
702,6,47,809,80,1996
703,6,47,810,63,2011
704,6,47,811,80,2014
705,6,47,812,80,2005
706,6,47,813,236,2007
707,6,47,814,180,1999
708,6,47,815,64,2002
709,6,47,816,80,1985
710,6,47,817,64,2002
711,6,47,818,183,2015
712,6,47,819,111,2013
713,6,47,820,62,2012
714,6,47,821,163,2015
715,6,47,822,88,2002
716,6,47,823,85,1998
717,6,47,824,237,2006
718,6,47,825,69,1992
719,6,47,826,69,2002
720,6,47,827,80,2006
721,6,47,828,69,2002
722,6,47,829,69,1990
723,6,47,830,91,2006
724,6,47,831,176,2002
725,6,47,832,94,1998
726,6,47,833,137,2004
727,6,47,834,88,2004
728,6,47,835,65,2007
729,6,47,836,80,2013
730,6,47,837,123,2012
731,6,47,838,79,2011
732,6,47,839,62,1999
733,6,47,840,206,2007
734,6,47,841,64,2010
735,6,47,842,69,2011
736,6,47,843,69,2006
737,6,47,844,79,2012
738,6,47,845,66,1990
739,6,47,846,64,2000
740,6,47,847,87,2007
741,6,47,848,67,2006
742,6,47,849,85,1964
743,6,47,850,176,2008
744,6,47,851,80,2006
745,6,47,852,80,2013
746,6,47,853,64,1996
747,6,47,854,63,2012
748,6,47,855,106,2003
749,6,47,856,94,2006
750,6,47,94,63,2011
751,6,47,857,80,1996
752,6,47,858,80,1988
753,6,47,859,65,2015
754,6,47,860,73,2010
755,6,47,113,63,2011
756,6,47,861,79,2011
757,6,47,862,80,2013
758,6,47,863,71,2005
759,6,47,864,100,1998
760,6,47,865,80,2010
761,6,47,866,62,2005
762,6,47,867,71,2015
763,6,47,868,64,2002
764,6,47,869,71,2016
765,6,47,870,67,2007
766,6,47,871,84,2014
767,6,47,872,65,2012
768,6,47,873,62,2010
769,6,47,874,187,2013
770,6,47,875,65,2010
771,6,47,876,61,2007
772,6,47,877,189,2010
773,6,47,878,186,2012
774,6,47,879,88,1998
775,6,47,880,185,2013
776,6,47,881,186,2004
777,6,47,882,121,1996
778,6,47,883,69,1995
779,6,47,884,238,2011
780,6,47,885,61,2013
781,6,47,886,100,2014
782,6,47,887,96,1996
783,6,47,888,185,2016
784,6,47,889,123,2008
785,6,47,890,165,2005
786,6,47,891,66,2000
787,6,47,892,65,2011
788,6,47,893,183,2016
789,6,47,894,65,2014
790,6,47,895,239,2003
791,6,47,896,158,2005
792,6,47,897,240,2016
793,6,47,898,80,2011
794,6,47,899,80,2003
795,6,47,900,185,2014
796,6,47,901,71,2011
797,6,47,902,67,2011
798,6,47,903,241,1990
799,6,47,904,242,1993
800,6,47,905,69,1996
801,6,47,906,65,2010
802,6,47,907,79,2015
803,6,47,908,125,2015
804,6,47,909,65,2015
805,6,47,910,71,2012
806,6,47,911,71,2011
807,6,47,912,80,2000
808,6,47,913,100,2008
809,6,47,914,243,2010
810,6,47,915,93,1990
811,6,47,916,183,2015
812,6,47,917,183,2015
813,6,47,918,185,2013
814,6,47,919,65,2010
815,6,47,920,80,2012
816,6,47,921,62,2008
817,6,47,922,65,2005
818,6,47,923,106,2005
819,6,47,924,80,2011
820,6,47,44,63,2013
821,6,47,925,80,2015
822,6,47,68,63,2012
823,6,47,926,71,2013
824,6,47,927,71,2014
825,6,47,928,187,2009
826,6,47,929,244,2007
827,6,47,930,245,2007
828,6,47,931,146,2015
829,6,47,932,80,2004
830,6,47,933,91,2000
831,6,47,934,239,2003
832,6,47,97,63,2011
833,6,47,935,67,2012
834,6,47,936,69,1986
835,6,47,937,91,2006
836,6,47,938,65,2015
837,6,47,939,183,2015
838,6,47,940,96,2014
839,6,47,941,69,2013
840,6,47,942,69,2009
841,6,47,943,80,2007
842,6,47,944,185,2009
843,6,47,945,69,2007
844,6,47,946,79,2012
845,6,47,947,73,2007
846,6,47,948,61,2005
847,6,47,949,180,2005
848,6,47,950,110,2007
849,6,47,951,69,1991
850,6,47,952,69,1989
851,6,47,62,63,2012
852,6,47,953,63,2014
853,6,47,29,63,2014
854,6,47,954,80,2005
855,6,47,955,104,1998
856,6,47,956,63,2014
857,6,47,957,246,2008
858,6,47,958,187,1990
859,6,47,959,71,2001
860,6,47,960,247,2001
861,6,47,961,97,1976
862,6,47,962,80,1980
863,6,47,963,62,1978
864,6,47,964,91,2006
865,6,47,965,85,2002
866,6,47,966,69,1986
867,6,47,967,80,1984
868,6,47,968,87,1995
869,6,47,969,80,2014
870,6,47,970,248,2006
871,6,47,971,249,2012
872,6,47,972,65,2008
873,6,47,973,65,2007
874,6,47,974,64,1999
875,6,47,975,71,2003
876,6,47,976,96,2013
877,6,47,977,94,2004
878,6,47,978,94,2004
879,6,47,979,67,2008
880,6,47,980,63,2012
881,6,47,981,64,1954
882,7,47,982,120,2013
883,7,47,983,173,1997
884,7,47,984,69,2013
885,7,47,985,250,2016
886,7,47,986,62,2001
887,7,47,987,120,2011
888,7,47,988,4,2012
889,7,47,989,251,2016
890,7,47,990,2,2010
891,7,47,991,112,2012
892,7,47,992,252,2011
893,7,47,993,173,2004
894,7,47,994,170,1995
895,7,47,995,2,2015
896,7,47,996,128,2015
897,7,47,997,13,2010
898,7,47,998,61,2011
899,7,47,999,135,2007
900,7,47,1000,253,2014
901,7,47,1001,69,2014
902,7,47,1002,97,1999
903,7,47,1003,173,2011
904,7,47,1004,254,2015
905,7,47,1005,222,2016
906,7,47,1006,128,2015
907,7,47,1007,128,2011
908,7,47,1008,164,2011
909,7,47,1009,110,2016
910,7,47,1010,253,2011
911,7,47,1011,65,2011
912,7,47,1012,2,2013
913,7,47,1013,73,2012
914,7,47,1014,255,2016
915,7,47,1015,173,2015
916,7,47,51,63,2013
917,7,47,1016,164,2013
918,7,47,1017,164,2010
919,7,47,1018,253,2013
920,7,47,1019,256,2011
921,7,47,1020,73,1999
922,7,47,1021,257,2015
923,7,47,1022,4,2014
924,7,47,1023,258,2006
925,7,47,1024,187,2016
926,7,47,1025,187,2015
927,7,47,1026,161,2016
928,8,47,1027,259,2013
929,8,47,1028,70,2007
930,8,47,1029,65,2012
931,8,47,1030,260,2007
932,8,47,1031,261,2012
933,8,47,1032,69,2012
934,8,47,1033,60,2006
935,8,47,796,69,1983
936,8,47,1034,71,2000
937,8,47,1035,262,2012
938,8,47,1036,71,2006
939,8,47,1037,67,2009
940,8,47,1038,69,2002
941,8,47,1039,263,2011
942,8,47,1040,264,2009
943,8,47,1041,65,2012
944,8,47,1042,80,2011
