,TITLE,LINK
1,PLoS Computational Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=2&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
2,BIOINFORMATICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=3&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
3,BMC Systems Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=4&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
4,BMC BIOINFORMATICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=5&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
5,JOURNAL OF MATHEMATICAL BIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=6&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
6,Algorithms for Molecular Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=7&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
7,BIOSTATISTICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=8&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
8,Evolutionary Bioinformatics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=9&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
9,Frontiers in Computational Neuroscience,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=10&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
10,JOURNAL OF THEORETICAL BIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=11&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
11,STATISTICS IN MEDICINE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=12&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
12,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=13&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
13,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=14&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
14,BULLETIN OF MATHEMATICAL BIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=15&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
15,BIOMETRIKA,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=16&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
16,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=17&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
17,STATISTICAL METHODS IN MEDICAL RESEARCH,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=18&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
18,BIOMETRICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=19&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
19,IET Systems Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=20&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
20,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=21&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
21,International Journal of Biomathematics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br.sbproxy.fgv.br/summary.do?product=WOS&doc=1&qid=22&SID=7DwcxaB359YHFGQ9vjs&search_mode=AdvancedSearch&update_back2search_link_param=yes
