,TITLE,TOT_DEGREE,TOT_ART
1,PLoS Computational Biology,0,0
2,BIOINFORMATICS,28,0
3,BMC Systems Biology,0,0
4,BMC BIOINFORMATICS,10,0
5,JOURNAL OF MATHEMATICAL BIOLOGY,0,0
6,Algorithms for Molecular Biology,0,0
7,BIOSTATISTICS,0,0
8,Evolutionary Bioinformatics,0,0
9,Frontiers in Computational Neuroscience,0,0
10,JOURNAL OF THEORETICAL BIOLOGY,1,0
11,STATISTICS IN MEDICINE,0,0
12,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0,0
13,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,19,0
14,BULLETIN OF MATHEMATICAL BIOLOGY,0,0
15,BIOMETRIKA,0,0
16,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0,0
17,STATISTICAL METHODS IN MEDICAL RESEARCH,0,0
18,BIOMETRICS,0,0
19,IET Systems Biology,0,0
20,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,0,0
21,International Journal of Biomathematics,0,0
22,Theoretical Biology and Medical Modelling,0,0
23,JOURNAL OF COMPUTATIONAL BIOLOGY,1,0
24,MATHEMATICAL BIOSCIENCES,0,0
25,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,1,0
26,BIOMETRICAL JOURNAL,0,0
27,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0,0
28,COMPUTERS IN BIOLOGY AND MEDICINE,0,0
29,Current Bioinformatics,0,0
30,Computational and Mathematical Methods in Medicine,0,0
31,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0,0
32,Mathematical Modelling of Natural Phenomena,0,0
33,International Journal of Data Mining and Bioinformatics,0,0
34,Statistics and Its Interface,0,0
35,JOURNAL OF BIOLOGICAL SYSTEMS,0,0
36,International Journal for Numerical Methods in Biomedical Engineering,0,0
37,Molecular Informatics,0,0
38,BRIEFINGS IN BIOINFORMATICS,1,0
39,Database-The Journal of Biological Databases and Curation,0,0
40,BIOSYSTEMS,0,0
41,ACTA BIOTHEORETICA,0,0
42,International Journal of Biostatistics,0,0
43,Mathematical Biosciences and Engineering,0,0
44,THEORY IN BIOSCIENCES,0,0
45,Statistics in Biopharmaceutical Research,0,0
46,Hokkaido Mathematical Journal,0,0
47,Wiley Interdisciplinary Reviews-Computational Molecular Science,0,6881
48,Journal of Medical Imaging and Health Informatics,0,0
49,BioData Mining,0,0
50,Statistical Applications in Genetics and Molecular Biology,0,0
51,Journal of Bioinformatics and Computational Biology,0,0
52,Interdisciplinary Sciences-Computational Life Sciences,0,0
53,IEEE Journal of Biomedical and Health Informatics,0,0
54,Research Synthesis Methods,0,0
55,Frontiers in Neuroinformatics,0,0
56,Journal of Biomedical Semantics,0,0
57,Journal of Biological Dynamics,0,0
58,Computational Intelligence and Neuroscience,0,0
59,GENETIC EPIDEMIOLOGY,0,0
60,BIOPHYSICAL CHEMISTRY,9,0
61,BIOPHYSICAL JOURNAL,116,0
62,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,177,0
63,WILEY INTERDISCIPLINARY REVIEWS-COMPUTATIONAL MOLECULAR SCIENCE,71,0
64,JOURNAL OF CHEMICAL PHYSICS,765,0
65,JOURNAL OF CHEMICAL THEORY AND COMPUTATION,235,0
66,CHEMICAL PHYSICS LETTERS,155,0
67,THEORETICAL CHEMISTRY ACCOUNTS,68,0
68,COMPUTER PHYSICS COMMUNICATIONS,29,0
69,JOURNAL OF COMPUTATIONAL CHEMISTRY,223,0
70,JOURNAL OF PHYSICAL CHEMISTRY C,53,0
71,JOURNAL OF PHYSICAL CHEMISTRY B,213,0
72,JOURNAL OF PHYSICS-CONDENSED MATTER,16,0
73,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,67,0
74,"ANNUAL REVIEW OF PHYSICAL CHEMISTRY, VOL 65",1,0
75,ABSTRACTS OF PAPERS OF THE AMERICAN CHEMICAL SOCIETY,2,0
76,SOFT MATTER,9,0
77,JOURNAL OF MEMBRANE BIOLOGY,2,0
78,PHYSICAL REVIEW E,15,0
79,PHYSICAL CHEMISTRY CHEMICAL PHYSICS,122,0
80,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,508,0
81,FRONTIERS OF CHEMICAL SCIENCE AND ENGINEERING,1,0
82,BIOPOLYMERS,15,0
83,RSC ADVANCES,7,0
84,JOURNAL OF PHYSICAL CHEMISTRY LETTERS,25,0
85,PHYSICAL REVIEW B,175,0
86,JOURNAL OF GENERAL PHYSIOLOGY,2,0
87,NATURE,113,0
88,SCIENCE,108,0
89,NATURE STRUCTURAL BIOLOGY,16,0
90,FEBS LETTERS,12,0
91,CHEMICAL REVIEWS,90,0
92,MOLECULAR AND CELLULAR BIOLOGY,1,0
93,MOLECULAR PHYSICS,53,0
94,JOURNAL OF PHYSICAL CHEMISTRY A,195,0
95,INTERDISCIPLINARY SCIENCES-COMPUTATIONAL LIFE SCIENCES,1,0
96,INTERNATIONAL JOURNAL OF QUANTUM CHEMISTRY,59,0
97,JOURNAL OF MOLECULAR BIOLOGY,81,0
98,JOURNAL OF PHYSICAL CHEMISTRY,72,0
99,"REVIEWS IN COMPUTATIONAL CHEMISTRY, VOL 18",1,0
100,ACCOUNTS OF CHEMICAL RESEARCH,63,0
101,ORGANIC GEOCHEMISTRY,2,0
102,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,12,0
103,BIOCHIMICA ET BIOPHYSICA ACTA,7,0
104,BIOCHEMISTRY,57,0
105,MOLECULAR SIMULATION,4,0
106,PHYSICAL REVIEW LETTERS,123,0
107,CHEMICAL PHYSICS,45,0
108,JOURNAL OF BIOMOLECULAR NMR,8,0
109,ACTA PHYSICO-CHIMICA SINICA,1,0
110,JOURNAL OF MOLECULAR MODELING,33,0
111,CHEMICAL SCIENCE,3,0
112,PLOS COMPUTATIONAL BIOLOGY,19,0
113,EUROPEAN JOURNAL OF PHARMACEUTICAL SCIENCES,2,0
114,BIOCHEMICAL JOURNAL,3,0
115,BMC STRUCTURAL BIOLOGY,7,0
116,MOLECULAR PHARMACOLOGY,3,0
117,CANCER RESEARCH,5,0
118,JOURNAL OF STRUCTURAL BIOLOGY,5,0
119,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,3,0
120,PLOS ONE,19,0
121,JOURNAL OF BIOLOGICAL CHEMISTRY,44,0
122,EUROPEAN JOURNAL OF BIOCHEMISTRY,8,0
123,BIOCHEMICAL SOCIETY TRANSACTIONS,4,0
124,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,4,0
125,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,5,0
126,INTERNATIONAL JOURNAL OF CANCER,2,0
127,FUTURE MEDICINAL CHEMISTRY,2,0
128,JOURNAL OF CHEMICAL INFORMATION AND MODELING,88,0
129,MOLECULAR INFORMATICS,3,0
130,JOURNAL OF MEDICINAL CHEMISTRY,66,0
131,PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,2,0
132,JOURNAL OF IMMUNOTHERAPY,1,0
133,CHEMMEDCHEM,4,0
134,NATURE REVIEWS CANCER,2,0
135,TRENDS IN BIOCHEMICAL SCIENCES,4,0
136,CHEMISTRY AND PHYSICS OF LIPIDS,1,0
137,PROTEIN SCIENCE,22,0
138,BRITISH JOURNAL OF PHARMACOLOGY,3,0
139,JOURNAL OF LIPID RESEARCH,1,0
140,SCIENCE ADVANCES,1,0
141,TOXICOLOGY AND APPLIED PHARMACOLOGY,1,0
142,CELLULAR AND MOLECULAR LIFE SCIENCES,3,0
143,JOURNAL OF CLINICAL ONCOLOGY,1,0
144,NATURE BIOTECHNOLOGY,7,0
145,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,3,0
146,FEBS JOURNAL,5,0
147,CANCER CHEMOTHERAPY AND PHARMACOLOGY,1,0
148,CANCER LETTERS,1,0
