,TITLE,LINK,JOURNAL_ID,YEAR,LINK_CIT
34648,Stepwise construction of a metabolic network in Event-B: The heat shock response,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=1,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d1%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400001&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=1&recid=WOS:000417660400001&PREC_REFCOUNT=41&fromRightPanel=true
34649,Shear wave elastography for characterization of breast lesions: Shearlet transform and local binary pattern histogram techniques,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=2,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d2%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400002&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=2&recid=WOS:000417660400002&PREC_REFCOUNT=70&fromRightPanel=true
34650,Nonlinearity-aware based dimensionality reduction and over-sampling for AD/MCI classification from MRI measures,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=3,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d3%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400003&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=3&recid=WOS:000417660400003&PREC_REFCOUNT=61&fromRightPanel=true
34651,Stress distribution of metatarsals during forefoot strike versus rearfoot strike: A finite element study,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=4,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d4%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400004&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=4&recid=WOS:000417660400004&PREC_REFCOUNT=51&fromRightPanel=true
34652,Heart rate variability feature selection in the presence of sleep apnea: An expert system for the characterization and detection of the disorder,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=5,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d5%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400005&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=5&recid=WOS:000417660400005&PREC_REFCOUNT=49&fromRightPanel=true
34653,Bimodal decompression sickness onset times are not related to dive type or event severity,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=6,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d6%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400006&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=6&recid=WOS:000417660400006&PREC_REFCOUNT=32&fromRightPanel=true
34654,Automatic selection of localized region-based active contour models using image content analysis applied to brain tumor segmentation,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=7,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d7%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400007&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=7&recid=WOS:000417660400007&PREC_REFCOUNT=40&fromRightPanel=true
34655,An improved synchronization likelihood method for quantifying neuronal synchrony,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=8,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d8%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400008&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=8&recid=WOS:000417660400008&PREC_REFCOUNT=69&fromRightPanel=true
34656,In-human subject-specific evaluation of a control-theoretic plasma volume regulation model,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=9,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d9%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400009&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=9&recid=WOS:000417660400009&PREC_REFCOUNT=61&fromRightPanel=true
34657,Feature selection method based on support vector machine and shape analysis for high-throughput medical data,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=10,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d10%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400010&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=10&recid=WOS:000417660400010&PREC_REFCOUNT=54&fromRightPanel=true
34658,Quality assessment for wireless capsule endoscopy videos compressed via HEVC: From diagnostic quality to visual perception,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=11,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d11%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400011&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=11&recid=WOS:000417660400011&PREC_REFCOUNT=35&fromRightPanel=true
34659,Features based on the percolation theory for quantification of non-Hodgkin lymphomas,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=12,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d12%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400012&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=12&recid=WOS:000417660400012&PREC_REFCOUNT=68&fromRightPanel=true
34660,Classification of the trabecular bone structure of osteoporotic patients using machine vision,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=13,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d13%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400013&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=13&recid=WOS:000417660400013&PREC_REFCOUNT=43&fromRightPanel=true
34661,Comparison of variable selection methods for high-dimensional survival data with competing events,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=14,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d14%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400014&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=14&recid=WOS:000417660400014&PREC_REFCOUNT=43&fromRightPanel=true
34662,Global optimal hybrid geometric active contour for automated lung segmentation on CT images,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=15,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d15%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400015&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=15&recid=WOS:000417660400015&PREC_REFCOUNT=42&fromRightPanel=true
34663,A dictionary learning approach for human sperm heads classification,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/full_record.do?product=WOS&search_mode=AdvancedSearch&qid=28&SID=6Dk7qUnU2Xwl4t7HMIc&page=1&doc=16,28,2017,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/InterService.do?product=WOS&toPID=WOS&action=AllCitationService&isLinks=yes&highlighted_tab=WOS&last_prod=WOS&fromPID=WOS&returnLink=http%3a%2f%2fapps.webofknowledge.com%2ffull_record.do%3fhighlighted_tab%3dWOS%26last_prod%3dWOS%26search_mode%3dAdvancedSearch%26qid%3d28%26log_event%3dyes%26product%3dWOS%26SID%3d6Dk7qUnU2Xwl4t7HMIc%26viewType%3dfullRecord%26doc%3d16%26page%3d1&srcDesc=RET2WOS&srcAlt=Voltar+para+Web+of+Science%3cspan+class%3d%22TMMark%22%3eTM%3c%2fspan%3e&UT=WOS:000417660400016&search_mode=CitedRefList&SID=6DOjcT6XfUgw3WMiNU4&parentProduct=WOS&parentQid=28&parentDoc=16&recid=WOS:000417660400016&PREC_REFCOUNT=28&fromRightPanel=true
