,SOURCE_A,SOURCE_J,TARGET_A,TARGET_J,YEAR
1,418360900001,1477-8599,000289136300008,0022-5096,2011
2,418360900001,1477-8599,000273909400022,0021-9290,2010
3,418360900001,1477-8599,A1997XB15100001,0148-0731,1997
4,418360900001,1477-8599,000073313800005,0045-7825,1998
5,418360900001,1477-8599,000185908800003,0090-6964,2003
6,418360900001,1477-8599,000281842800014,1617-7959,2010
7,418360900001,1477-8599,000296634000003,1617-7959,2011
8,418360900001,1477-8599,000072284600006,0092-8240,1998
9,418360900001,1477-8599,000316566400009,0090-6964,2013
10,418360900001,1477-8599,000254785100002,1617-7959,2008
11,418360900001,1477-8599,000186990400006,0022-5193,2004
12,418360900001,1477-8599,000276992100009,1742-5689,2010
13,418360900001,1477-8599,000296000900001,0370-1573,2011
14,418360900001,1477-8599,000235712600002,1742-5689,2006
15,418360900001,1477-8599,000290829100002,0025-5564,2011
16,418360900001,1477-8599,000275545800009,1617-7959,2010
17,418360900001,1477-8599,000245885300003,1617-7959,2007
18,418360900001,1477-8599,000253694300004,0029-5981,2008
19,418360900001,1477-8599,000169741700003,0374-3535,2000
20,418360900001,1477-8599,000277038700001,1364-5021,2010
21,418360900001,1477-8599,000269212700002,1617-7959,2009
22,418360900001,1477-8599,000241717900011,0898-6568,2006
23,418360900001,1477-8599,000237931500040,0006-3495,2006
24,418360900001,1477-8599,000278574400007,0022-5096,2010
25,418360900001,1477-8599,000249213300006,0022-2461,2007
26,418360900001,1477-8599,000258061700002,0090-6964,2008
27,418360900001,1477-8599,000260457900008,1025-5842,2008
28,418360900001,1477-8599,000268735700008,1364-503X,2009
29,418360900001,1477-8599,000300518000004,1617-7959,2012
30,418360900001,1477-8599,000079882900003,0025-5564,1999
31,418360900001,1477-8599,000264273100004,0142-9612,2009
32,418360900001,1477-8599,000303079500015,0022-5193,2012
33,418360900001,1477-8599,000266643000001,0090-6964,2009
34,418360900001,1477-8599,000265636600004,1937-3341,2009
35,418360900001,1477-8599,000303378200002,1617-7959,2012
36,418360900001,1477-8599,000297341500017,0018-9294,2011
37,418360900001,1477-8599,000309269100029,1742-5689,2012
38,418360900001,1477-8599,000089723700004,0170-4214,2000
39,418360900001,1477-8599,000235008800020,1539-3755,2006
40,418360900001,1477-8599,000294934200008,0021-9290,2011
41,418360900002,1477-8599,000224663300003,0031-9155,2004
