ISSN,TITLE,CITED_OUT,CITED_IN,TOT_ART
1553-734X,PLoS Computational Biology,0,57,0
1367-4803,BIOINFORMATICS,0,741,0
1752-0509,BMC Systems Biology,0,22,0
1471-2105,BMC BIOINFORMATICS,0,271,0
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,0,8,0
1748-7188,Algorithms for Molecular Biology,0,6,0
1465-4644,BIOSTATISTICS,0,120,0
1176-9343,Evolutionary Bioinformatics,0,3,0
1662-5188,Frontiers in Computational Neuroscience,0,0,0
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,0,25,0
0277-6715,STATISTICS IN MEDICINE,0,78,0
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,0,0,0
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,0,0,0
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,0,5,0
0006-3444,BIOMETRIKA,0,151,0
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,0,0,0
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,0,15,0
0006-341X,BIOMETRICS,0,202,0
1751-8849,IET Systems Biology,0,2,0
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,0,0,0
1793-5245,International Journal of Biomathematics,0,0,0
1742-4682,Theoretical Biology and Medical Modelling,0,1,0
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,0,81,0
0025-5564,MATHEMATICAL BIOSCIENCES,0,7,0
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,0,0,0
0323-3847,BIOMETRICAL JOURNAL,0,32,0
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,0,0,0
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,0,1,0
1574-8936,Current Bioinformatics,0,3,0
1748-670X,Computational and Mathematical Methods in Medicine,0,0,0
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,0,4,0
0973-5348,Mathematical Modelling of Natural Phenomena,0,0,0
1748-5673,International Journal of Data Mining and Bioinformatics,0,1,0
1938-7989,Statistics and Its Interface,0,5,0
0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS,0,1,0
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,0,2,0
1868-1743,Molecular Informatics,0,0,0
1467-5463,BRIEFINGS IN BIOINFORMATICS,0,21,0
1758-0463,Database-The Journal of Biological Databases and Curation,0,0,0
0303-2647,BIOSYSTEMS,0,5,0
0001-5342,ACTA BIOTHEORETICA,0,0,0
2194-573X,International Journal of Biostatistics,0,2,0
1547-1063,Mathematical Biosciences and Engineering,0,0,0
1431-7613,THEORY IN BIOSCIENCES,0,0,0
1946-6315,Statistics in Biopharmaceutical Research,0,1,0
0385-4035,Hokkaido Mathematical Journal,0,0,0
1759-0876,Wiley Interdisciplinary Reviews-Computational Molecular Science,0,0,0
2156-7018,Journal of Medical Imaging and Health Informatics,0,0,0
1756-0381,BioData Mining,0,1,0
2194-6302,Statistical Applications in Genetics and Molecular Biology,9554,50,330
0219-7200,Journal of Bioinformatics and Computational Biology,0,1,0
1913-2751,Interdisciplinary Sciences-Computational Life Sciences,0,0,0
2168-2194,IEEE Journal of Biomedical and Health Informatics,0,0,0
1759-2879,Research Synthesis Methods,0,0,0
1662-5196,Frontiers in Neuroinformatics,0,0,0
2041-1480,Journal of Biomedical Semantics,0,0,0
1751-3758,Journal of Biological Dynamics,0,0,0
1687-5265,Computational Intelligence and Neuroscience,0,0,0
0741-0395,GENETIC EPIDEMIOLOGY,0,149,0
1532-4435,JOURNAL OF MACHINE LEARNING RESEARCH,0,38,0
0016-6731,GENETICS,0,253,0
1543-592X(print),"ANNUAL REVIEW OF ECOLOGY, EVOLUTION, AND SYSTEMATICS, VOL 41",0,5,0
0003-4851,ANNALS OF MATHEMATICAL STATISTICS,0,43,0
0883-4237,STATISTICAL SCIENCE,0,51,0
0737-4038,MOLECULAR BIOLOGY AND EVOLUTION,0,66,0
0162-1459,JOURNAL OF THE AMERICAN STATISTICAL ASSOCIATION,0,351,0
0090-5364,ANNALS OF STATISTICS,0,196,0
0035-9246,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-METHODOLOGICAL,0,123,0
0035-9254,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES C-APPLIED STATISTICS,0,23,0
1369-7412,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,0,169,0
0266-4666,ECONOMETRIC THEORY,0,4,0
0883-7252,JOURNAL OF APPLIED ECONOMETRICS,0,1,0
1553-7390,PLOS GENETICS,0,54,0
0028-0836,NATURE,0,181,0
1471-0056,NATURE REVIEWS GENETICS,0,135,0
"Working Paper 931, UFAE and IAE Working Papers","Working Paper 931, UFAE and IAE Working Papers",0,1,0
Methodol. Comput. Appl. Probab,Methodol. Comput. Appl. Probab,0,1,0
"Technical report, arXiv","Technical report, arXiv",0,1,0
PLoS ONE,PLoS ONE,0,4,0
arXiv preprint,arXiv preprint,0,2,0
0962-1083,MOLECULAR ECOLOGY,0,15,0
1935-7524,ELECTRONIC JOURNAL OF STATISTICS,0,18,0
0005-1098,AUTOMATICA,0,1,0
0018-9286,IEEE TRANSACTIONS ON AUTOMATIC CONTROL,0,8,0
1932-6203,PLOS ONE,0,117,0
1742-5689,JOURNAL OF THE ROYAL SOCIETY INTERFACE,0,12,0
"MULTIVARIATE DENSITY ESTIMATION: THEORY, PRACTICE, AND VISUALIZATION, 2ND EDITION","MULTIVARIATE DENSITY ESTIMATION: THEORY, PRACTICE, AND VISUALIZATION, 2ND EDITION",0,1,0
Stat. Methodol.,Stat. Methodol.,0,1,0
2041-1723,NATURE COMMUNICATIONS,0,4,0
1465-6906,GENOME BIOLOGY,0,16,0
1061-4036,NATURE GENETICS,0,177,0
2211-1247,CELL REPORTS,0,2,0
1876-1623(print),CHROMATIN REMODELLING AND IMMUNITY,0,1,0
1750-1911,EPIGENOMICS,0,2,0
1754-2189,NATURE PROTOCOLS,0,18,0
1474-760X,GENOME BIOLOGY,0,99,0
0021-9258,JOURNAL OF BIOLOGICAL CHEMISTRY,0,11,0
1001-0602,CELL RESEARCH,0,3,0
1548-7091,NATURE METHODS,0,50,0
2146-4596,JOURNAL OF PEDIATRIC GENETICS,0,1,0
0168-1656,JOURNAL OF BIOTECHNOLOGY,0,2,0
1756-8935,EPIGENETICS & CHROMATIN,0,3,0
1088-9051,GENOME RESEARCH,0,106,0
1462-2416,PHARMACOGENOMICS,0,3,0
2159-3337,NUCLEIC ACID THERAPEUTICS,0,1,0
0036-8075,SCIENCE,0,133,0
1544-6115,STATISTICAL APPLICATIONS IN GENETICS AND MOLECULAR BIOLOGY,0,85,0
0076-6879,CDNA PREPARATION AND CHARACTERIZATION,0,5,0
1471-2164,BMC GENOMICS,0,37,0
1059-1524,MOLECULAR BIOLOGY OF THE CELL,0,9,0
0950-9232,ONCOGENE,0,10,0
0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,0,319,0
1046-2023,METHODS,0,7,0
Alpheus. J. Comput. Sci. Syst. Biol.,Alpheus. J. Comput. Sci. Syst. Biol.,0,1,0
0006-3606,BIOTROPICA,0,1,0
1471-2148,BMC EVOLUTIONARY BIOLOGY,0,10,0
0014-3820,EVOLUTION,0,19,0
0022-3395,JOURNAL OF PARASITOLOGY,0,1,0
1063-5157,SYSTEMATIC BIOLOGY,0,48,0
1010-061X,JOURNAL OF EVOLUTIONARY BIOLOGY,0,7,0
0008-5472,CANCER RESEARCH,0,35,0
1674-5507,CURRENT ZOOLOGY,0,1,0
1210-5759,EUROPEAN JOURNAL OF ENTOMOLOGY,0,2,0
0024-4066,BIOLOGICAL JOURNAL OF THE LINNEAN SOCIETY,0,2,0
J Res Sci.,J Res Sci.,0,1,0
1865-3499,GENES AND NUTRITION,0,1,0
1548-7660,JOURNAL OF STATISTICAL SOFTWARE,0,25,0
0002-9297,AMERICAN JOURNAL OF HUMAN GENETICS,0,219,0
1053-8119,NEUROIMAGE,0,17,0
0197-4580,NEUROBIOLOGY OF AGING,0,1,0
1931-6690,BAYESIAN ANALYSIS,0,31,0
0167-9473,COMPUTATIONAL STATISTICS & DATA ANALYSIS,0,62,0
0165-0173,BRAIN RESEARCH REVIEWS,0,1,0
0001-5652,HUMAN HEREDITY,0,60,0
0304-3940,NEUROSCIENCE LETTERS,0,2,0
1932-6157,ANNALS OF APPLIED STATISTICS,0,75,0
0964-6906,HUMAN MOLECULAR GENETICS,0,26,0
1552-5260,ALZHEIMERS & DEMENTIA,0,4,0
1364-6745,NEUROGENETICS,0,2,0
0003-990X,ARCHIVES OF GENERAL PSYCHIATRY,0,3,0
Alzheimer's & Dementia,Alzheimer's & Dementia,0,1,0
2158-3188,TRANSLATIONAL PSYCHIATRY,0,1,0
1017-0405,STATISTICA SINICA,0,34,0
0077-8923,STRATEGIES FOR ENGINEERED NEGLIGIBLE SENESCENCE: WHY GENUINE CONTROL OF AGING MAY BE FORESEEABLE,0,7,0
0018-7143,HUMAN BIOLOGY,0,2,0
0785-3890,ANNALS OF MEDICINE,0,2,0
0003-9942,ARCHIVES OF NEUROLOGY,0,1,0
