,TITLE,2010,2011,2012,2013,2014,2015,2016
1,PLoS Computational Biology,-1.0,-1.0,-1.0,9.44647,9.22916,9.70773,9.95471
2,BIOINFORMATICS,-1.0,-1.0,-1.0,19.91888,21.98788,21.01962,21.03966
3,BMC Systems Biology,-1.0,-1.0,-1.0,1.92587,1.70746,1.89181,1.4911
4,BMC BIOINFORMATICS,-1.0,-1.0,-1.0,8.21677,7.72019,7.74288,6.85665
5,JOURNAL OF MATHEMATICAL BIOLOGY,-1.0,-1.0,-1.0,1.01967,0.89871,0.80915,0.7498
6,Algorithms for Molecular Biology,-1.0,-1.0,-1.0,0.25208,0.29258,0.33413,0.47079
7,BIOSTATISTICS,-1.0,-1.0,-1.0,1.30074,1.1162,0.95973,0.83917
8,Evolutionary Bioinformatics,-1.0,-1.0,-1.0,0.11144,0.11926,0.15074,0.14151
9,Frontiers in Computational Neuroscience,-1.0,-1.0,-1.0,0.4367,0.62993,0.85559,0.92502
10,JOURNAL OF THEORETICAL BIOLOGY,-1.0,-1.0,-1.0,3.27407,2.87481,2.68013,2.55313
11,STATISTICS IN MEDICINE,-1.0,-1.0,-1.0,4.26907,3.93493,3.82243,3.78964
12,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,-1.0,-1.0,-1.0,0.63333,0.53431,0.52812,0.39212
13,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,-1.0,-1.0,-1.0,0.43675,0.44179,0.44798,0.4254
14,BULLETIN OF MATHEMATICAL BIOLOGY,-1.0,-1.0,-1.0,0.69713,0.60286,0.65275,0.50916
15,BIOMETRIKA,-1.0,-1.0,-1.0,1.88918,2.04143,1.85785,1.79789
16,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,-1.0,-1.0,-1.0,0.66833,0.6897,0.61912,0.57887
17,STATISTICAL METHODS IN MEDICAL RESEARCH,-1.0,-1.0,-1.0,0.63016,0.78886,0.84296,0.96901
18,BIOMETRICS,-1.0,-1.0,-1.0,1.97754,1.93526,1.76406,1.6553
19,IET Systems Biology,-1.0,-1.0,-1.0,0.18927,0.16,0.10194,0.09551
20,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,-1.0,-1.0,-1.0,0.84751,0.74717,0,0
21,International Journal of Biomathematics,-1.0,-1.0,-1.0,0.06191,0.06138,0.09263,0.10718
22,Theoretical Biology and Medical Modelling,-1.0,-1.0,-1.0,0.19069,0.16977,0.15784,0.15717
23,JOURNAL OF COMPUTATIONAL BIOLOGY,-1.0,-1.0,-1.0,0.88614,0.82663,0.86048,0.94927
24,MATHEMATICAL BIOSCIENCES,-1.0,-1.0,-1.0,0.58248,0.54117,0.50277,0.55265
25,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,-1.0,-1.0,-1.0,0.13089,0.12908,0.12246,0.14016
26,BIOMETRICAL JOURNAL,-1.0,-1.0,-1.0,0.79962,0.53836,0.39412,0.46791
27,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,-1.0,-1.0,-1.0,0.13431,0.1143,0.10043,0.10579
28,COMPUTERS IN BIOLOGY AND MEDICINE,-1.0,-1.0,-1.0,0.46272,0.43759,0.58718,0.75009
29,Current Bioinformatics,-1.0,-1.0,-1.0,0.10038,0.09985,0.09387,0.09184
