,TITLE,LINK,ISSN
1,PLoS Computational Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=1&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1553-734X
2,BIOINFORMATICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=2&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1367-4803
3,BMC Systems Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=3&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1752-0509
4,BMC BIOINFORMATICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=4&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1471-2105
5,JOURNAL OF MATHEMATICAL BIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=5&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0303-6812
6,Algorithms for Molecular Biology,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=6&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1748-7188
7,BIOSTATISTICS,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=7&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1465-4644
8,Evolutionary Bioinformatics,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=8&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1176-9343
9,Frontiers in Computational Neuroscience,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=9&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1662-5188
10,JOURNAL OF THEORETICAL BIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=10&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0022-5193
11,STATISTICS IN MEDICINE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=11&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0277-6715
12,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=12&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0929-5313
13,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=13&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,1093-3263
14,BULLETIN OF MATHEMATICAL BIOLOGY,http://apps-webofknowledge.ez91.periodicos.capes.gov.br/summary.do?product=WOS&doc=1&qid=14&SID=7EqdZsH5sVmydwHbRCd&search_mode=AdvancedSearch&update_back2search_link_param=yes,0092-8240
