ISSN,TITLE,TOT_DEGREE,TOT_ART
1553-734X,PLoS Computational Biology,1845,4088
1367-4803,BIOINFORMATICS,8716,5840
1752-0509,BMC Systems Biology,780,1443
1471-2105,BMC BIOINFORMATICS,4029,4742
0303-6812,JOURNAL OF MATHEMATICAL BIOLOGY,1933,845
1748-7188,Algorithms for Molecular Biology,196,238
1465-4644,BIOSTATISTICS,1093,434
1176-9343,Evolutionary Bioinformatics,78,227
1662-5188,Frontiers in Computational Neuroscience,291,850
0022-5193,JOURNAL OF THEORETICAL BIOLOGY,3822,3381
0277-6715,STATISTICS IN MEDICINE,4964,2507
0929-5313,JOURNAL OF COMPUTATIONAL NEUROSCIENCE,516,476
1093-3263,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,362,1129
0092-8240,BULLETIN OF MATHEMATICAL BIOLOGY,1679,867
0006-3444,BIOMETRIKA,3425,606
0140-0118,MEDICAL & BIOLOGICAL ENGINEERING & COMPUTING,623,1023
0962-2802,STATISTICAL METHODS IN MEDICAL RESEARCH,490,565
0006-341X,BIOMETRICS,4257,1025
1751-8849,IET Systems Biology,185,231
1089-7771,IEEE TRANSACTIONS ON INFORMATION TECHNOLOGY IN BIOMEDICINE,606,411
1793-5245,International Journal of Biomathematics,313,567
1742-4682,Theoretical Biology and Medical Modelling,141,304
1066-5277,JOURNAL OF COMPUTATIONAL BIOLOGY,862,767
0025-5564,MATHEMATICAL BIOSCIENCES,2370,945
1062-936X,SAR AND QSAR IN ENVIRONMENTAL RESEARCH,417,397
0323-3847,BIOMETRICAL JOURNAL,634,510
1477-8599,MATHEMATICAL MEDICINE AND BIOLOGY-A JOURNAL OF THE IMA,267,158
0010-4825,COMPUTERS IN BIOLOGY AND MEDICINE,493,1655
1574-8936,Current Bioinformatics,96,386
1748-670X,Computational and Mathematical Methods in Medicine,126,1298
1085-7117,JOURNAL OF AGRICULTURAL BIOLOGICAL AND ENVIRONMENTAL STATISTICS,175,264
0973-5348,Mathematical Modelling of Natural Phenomena,280,540
1748-5673,International Journal of Data Mining and Bioinformatics,345,418
1938-7989,Statistics and Its Interface,101,377
0218-3390,JOURNAL OF BIOLOGICAL SYSTEMS,286,299
2040-7939,International Journal for Numerical Methods in Biomedical Engineering,309,674
1868-1743,Molecular Informatics,186,516
1467-5463,BRIEFINGS IN BIOINFORMATICS,687,544
1758-0463,Database-The Journal of Biological Databases and Curation,304,719
0303-2647,BIOSYSTEMS,649,709
0001-5342,ACTA BIOTHEORETICA,180,181
2194-573X,International Journal of Biostatistics,72,237
1547-1063,Mathematical Biosciences and Engineering,626,538
1431-7613,THEORY IN BIOSCIENCES,137,158
1946-6315,Statistics in Biopharmaceutical Research,126,298
0385-4035,Hokkaido Mathematical Journal,9,159
1759-0876,Wiley Interdisciplinary Reviews-Computational Molecular Science,109,93
2156-7018,Journal of Medical Imaging and Health Informatics,51,1166
1756-0381,BioData Mining,155,201
2194-6302,Statistical Applications in Genetics and Molecular Biology,98,331
0219-7200,Journal of Bioinformatics and Computational Biology,99,395
1913-2751,Interdisciplinary Sciences-Computational Life Sciences,52,311
2168-2194,IEEE Journal of Biomedical and Health Informatics,211,861
1759-2879,Research Synthesis Methods,256,183
1662-5196,Frontiers in Neuroinformatics,229,301
2041-1480,Journal of Biomedical Semantics,240,287
1751-3758,Journal of Biological Dynamics,166,215
1687-5265,Computational Intelligence and Neuroscience,40,590
0741-0395,GENETIC EPIDEMIOLOGY,1075,633
0305-1048,NUCLEIC ACIDS RESEARCH,7848,0
1932-6203,PLOS ONE,4628,0
0969-2126,STRUCTURE,265,0
0907-4449,ACTA CRYSTALLOGRAPHICA SECTION D-BIOLOGICAL CRYSTALLOGRAPHY,117,0
0192-8651,JOURNAL OF COMPUTATIONAL CHEMISTRY,1181,0
0002-7863,JOURNAL OF THE AMERICAN CHEMICAL SOCIETY,1021,0
0092-8674,CELL,1912,0
0022-2836,JOURNAL OF MOLECULAR BIOLOGY,1727,0
1545-9993,NATURE STRUCTURAL & MOLECULAR BIOLOGY,112,0
2050-084X,ELIFE,156,0
0887-3585,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,1221,0
0036-8075,SCIENCE,5030,0
0076-6879,METHODS IN PROTEIN DESIGN,130,0
1097-2765,MOLECULAR CELL,423,0
1367-5931,CURRENT OPINION IN CHEMICAL BIOLOGY,75,0
0021-9258,JOURNAL OF BIOLOGICAL CHEMISTRY,1594,0
1544-9173,PLOS BIOLOGY,343,0
0958-1669,CURRENT OPINION IN BIOTECHNOLOGY,132,0
1535-3893,JOURNAL OF PROTEOME RESEARCH,205,0
0950-0693,INTERNATIONAL JOURNAL OF SCIENCE EDUCATION,2,0
0961-8368,PROTEIN SCIENCE,420,0
0157-244X,RESEARCH IN SCIENCE EDUCATION,4,0
0027-8424,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,7022,0
0022-4537,JOURNAL OF SOCIAL ISSUES,1,0
0002-8312,AMERICAN EDUCATIONAL RESEARCH JOURNAL,6,0
0022-0663,JOURNAL OF EDUCATIONAL PSYCHOLOGY,53,0
0002-9602,AMERICAN JOURNAL OF SOCIOLOGY,19,0
0028-0836,NATURE,6605,0
0076-6879(print),"METHODS IN ENZYMOLOGY, VOL 487: COMPUTER METHODS, PT C",40,0
1090-7165,AIDS AND BEHAVIOR,22,0
0925-2738,JOURNAL OF BIOMOLECULAR NMR,47,0
1047-8477,JOURNAL OF STRUCTURAL BIOLOGY,93,0
0001-4966,JOURNAL OF THE ACOUSTICAL SOCIETY OF AMERICA,160,0
0022-3077,JOURNAL OF NEUROPHYSIOLOGY,1416,0
0304-3800,ECOLOGICAL MODELLING,464,0
1539-3755,PHYSICAL REVIEW E,976,0
8756-7938,BIOTECHNOLOGY PROGRESS,60,0
0953-816X,EUROPEAN JOURNAL OF NEUROSCIENCE,229,0
1094-8341,PHYSIOLOGICAL GENOMICS,55,0
0006-3568,BIOSCIENCE,71,0
0899-7667,NEURAL COMPUTATION,845,0
0166-2236,TRENDS IN NEUROSCIENCES,275,0
0270-6474,JOURNAL OF NEUROSCIENCE,2003,0
0006-8993,BRAIN RESEARCH,261,0
0954-898X,NETWORK-COMPUTATION IN NEURAL SYSTEMS,132,0
0340-1200,BIOLOGICAL CYBERNETICS,473,0
0021-9967,JOURNAL OF COMPARATIVE NEUROLOGY,154,0
0378-5955,HEARING RESEARCH,61,0
0197-4580,NEUROBIOLOGY OF AGING,77,0
0022-0949,JOURNAL OF EXPERIMENTAL BIOLOGY,187,0
1525-3961,JARO-JOURNAL OF THE ASSOCIATION FOR RESEARCH IN OTOLARYNGOLOGY,9,0
1539-2791,NEUROINFORMATICS,143,0
2352-1546,CURRENT OPINION IN BEHAVIORAL SCIENCES,9,0
0014-4819,EXPERIMENTAL BRAIN RESEARCH,187,0
0036-1399,SIAM JOURNAL ON APPLIED MATHEMATICS,876,0
0022-2895,JOURNAL OF MOTOR BEHAVIOR,16,0
1662-5110,FRONTIERS IN NEURAL CIRCUITS,63,0
0169-5347,TRENDS IN ECOLOGY & EVOLUTION,409,0
0007-4985,BULLETIN OF MATHEMATICAL BIOPHYSICS,29,0
0022-3751,JOURNAL OF PHYSIOLOGY-LONDON,770,0
0031-9333,PHYSIOLOGICAL REVIEWS,190,0
0959-4388,CURRENT OPINION IN NEUROBIOLOGY,232,0
0377-2217,EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,88,0
0025-1909,MANAGEMENT SCIENCE,28,0
0306-4522,NEUROSCIENCE,262,0
1097-6256,NATURE NEUROSCIENCE,744,0
0018-9294,IEEE TRANSACTIONS ON BIOMEDICAL ENGINEERING,1452,0
1553-7358,PLOS COMPUTATIONAL BIOLOGY,421,0
0001-6489,ACTA OTO-LARYNGOLOGICA,10,0
0014-9446,FEDERATION PROCEEDINGS,11,0
1073-9688,MICROCIRCULATION,19,0
2162-237X,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,75,0
0006-3495,BIOPHYSICAL JOURNAL,1628,0
1073-8584,NEUROSCIENTIST,51,0
0066-4278,ANNUAL REVIEW OF PHYSIOLOGY,77,0
0014-4886,EXPERIMENTAL NEUROLOGY,107,0
2163-8306,CPT-PHARMACOMETRICS & SYSTEMS PHARMACOLOGY,12,0
1744-4292,MOLECULAR SYSTEMS BIOLOGY,577,0
0306-3127,SOCIAL STUDIES OF SCIENCE,8,0
0162-2439,SCIENCE TECHNOLOGY & HUMAN VALUES,1,0
1662-5161,FRONTIERS IN HUMAN NEUROSCIENCE,119,0
0305-4470,JOURNAL OF PHYSICS A-MATHEMATICAL AND GENERAL,88,0
0885-6125,MACHINE LEARNING,687,0
0364-0213,COGNITIVE SCIENCE,32,0
0040-585X,THEORY OF PROBABILITY AND ITS APPLICATIONS,9,0
0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,494,0
0023-5946,KYBERNETIK,29,0
0010-0285,COGNITIVE PSYCHOLOGY,18,0
1747-0218,QUARTERLY JOURNAL OF EXPERIMENTAL PSYCHOLOGY,5,0
0033-295X,PSYCHOLOGICAL REVIEW,113,0
0925-2312,NEUROCOMPUTING,535,0
0896-6273,NEURON,1008,0
0031-9007,PHYSICAL REVIEW LETTERS,1019,0
0026-2862,MICROVASCULAR RESEARCH,76,0
0090-6964,ANNALS OF BIOMEDICAL ENGINEERING,565,0
1552-4450,NATURE CHEMICAL BIOLOGY,143,0
1474-4422,LANCET NEUROLOGY,104,0
1050-1738,TRENDS IN CARDIOVASCULAR MEDICINE,11,0
0169-7552,COMPUTER NETWORKS AND ISDN SYSTEMS,7,0
0002-9149,AMERICAN JOURNAL OF CARDIOLOGY,103,0
1018-1172,JOURNAL OF VASCULAR RESEARCH,9,0
0007-1048,BRITISH JOURNAL OF HAEMATOLOGY,54,0
0962-8452,PROCEEDINGS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,652,0
1369-7412,JOURNAL OF THE ROYAL STATISTICAL SOCIETY SERIES B-STATISTICAL METHODOLOGY,1880,0
0012-1606,DEVELOPMENTAL BIOLOGY,126,0
1548-9213,PHYSIOLOGY,20,0
1570-7555,ANIMAL BIOLOGY,1,0
0950-1991,DEVELOPMENT,251,0
1472-6750,BMC BIOTECHNOLOGY,10,0
1532-0820,COMPARATIVE MEDICINE,4,0
1364-503X,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY A-MATHEMATICAL PHYSICAL AND ENGINEERING SCIENCES,210,0
1058-8388,DEVELOPMENTAL DYNAMICS,58,0
0149-5992,DIABETES CARE,132,0
0022-0833,JOURNAL OF ENGINEERING MATHEMATICS,39,0
0009-7330,CIRCULATION RESEARCH,349,0
1070-6631,PHYSICS OF FLUIDS,87,0
0363-6135,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,279,0
0002-9513,AMERICAN JOURNAL OF PHYSIOLOGY-HEART AND CIRCULATORY PHYSIOLOGY,397,0
0028-4793,NEW ENGLAND JOURNAL OF MEDICINE,1282,0
1744-683X,SOFT MATTER,52,0
1548-7091,NATURE METHODS,994,0
0022-1120,JOURNAL OF FLUID MECHANICS,189,0
0022-1295,JOURNAL OF GENERAL PHYSIOLOGY,101,0
1932-1058,BIOMICROFLUIDICS,11,0
0021-8987,JOURNAL OF APPLIED PHYSIOLOGY,46,0
1523-9829,ANNUAL REVIEW OF BIOMEDICAL ENGINEERING,91,0
1078-8956,NATURE MEDICINE,354,0
0003-0805,AMERICAN REVIEW OF RESPIRATORY DISEASE,22,0
0958-0670,EXPERIMENTAL PHYSIOLOGY,38,0
0144-1647,TRANSPORT REVIEWS,2,0
0021-9290,JOURNAL OF BIOMECHANICS,1033,0
1087-0156,NATURE BIOTECHNOLOGY,1244,0
1474-175X,NATURE REVIEWS CANCER,501,0
0302-2838,EUROPEAN UROLOGY,39,0
1742-206X,MOLECULAR BIOSYSTEMS,334,0
1949-2553,ONCOTARGET,143,0
2045-2322,SCIENTIFIC REPORTS,587,0
1547-6286,RNA BIOLOGY,43,0
0162-8828,IEEE TRANSACTIONS ON PATTERN ANALYSIS AND MACHINE INTELLIGENCE,828,0
1055-9965,CANCER EPIDEMIOLOGY BIOMARKERS & PREVENTION,118,0
0022-5223,JOURNAL OF THORACIC AND CARDIOVASCULAR SURGERY,88,0
1582-4934,JOURNAL OF CELLULAR AND MOLECULAR MEDICINE,15,0
0020-7136,INTERNATIONAL JOURNAL OF CANCER,183,0
1837-9664,JOURNAL OF CANCER,8,0
0008-5472,CANCER RESEARCH,919,0
1045-2257,GENES CHROMOSOMES & CANCER,47,0
1758-2946,JOURNAL OF CHEMINFORMATICS,216,0
1083-7159,ONCOLOGIST,50,0
1349-7006,CANCER SCIENCE,8,0
0090-4295,UROLOGY,30,0
0006-291X,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,414,0
1792-1074,ONCOLOGY LETTERS,13,0
1078-0432,CLINICAL CANCER RESEARCH,370,0
1062-4821,CURRENT OPINION IN NEPHROLOGY AND HYPERTENSION,7,0
0959-8049,EUROPEAN JOURNAL OF CANCER,112,0
1550-4131,CELL METABOLISM,52,0
1791-2997,MOLECULAR MEDICINE REPORTS,23,0
1433-6510,CLINICAL LABORATORY,3,0
0925-4439,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,24,0
1422-0067,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,175,0
1936-2625,INTERNATIONAL JOURNAL OF CLINICAL AND EXPERIMENTAL PATHOLOGY,17,0
0959-437X,CURRENT OPINION IN GENETICS & DEVELOPMENT,135,0
1540-1405,JOURNAL OF THE NATIONAL COMPREHENSIVE CANCER NETWORK,1,0
0022-3069,JOURNAL OF NEUROPATHOLOGY AND EXPERIMENTAL NEUROLOGY,30,0
1477-7819,WORLD JOURNAL OF SURGICAL ONCOLOGY,5,0
1471-2156,BMC GENETICS,113,0
1061-4036,NATURE GENETICS,2182,0
0007-9235,CA-A CANCER JOURNAL FOR CLINICIANS,83,0
0946-2716,JOURNAL OF MOLECULAR MEDICINE-JMM,24,0
0262-8856,IMAGE AND VISION COMPUTING,82,0
1021-335X,ONCOLOGY REPORTS,45,0
1347-9032,CANCER SCIENCE,46,0
1357-0560,MEDICAL ONCOLOGY,10,0
0964-6906,HUMAN MOLECULAR GENETICS,344,0
0046-8177,HUMAN PATHOLOGY,30,0
1535-7163,MOLECULAR CANCER THERAPEUTICS,91,0
0168-9525,TRENDS IN GENETICS,332,0
1471-2164,BMC GENOMICS,824,0
0003-9861,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,75,0
1007-9327,WORLD JOURNAL OF GASTROENTEROLOGY,55,0
1010-4283,TUMOR BIOLOGY,26,0
0361-9230,BRAIN RESEARCH BULLETIN,43,0
0006-2960,BIOCHEMISTRY,618,0
1534-5807,DEVELOPMENTAL CELL,132,0
1478-811X,CELL COMMUNICATION AND SIGNALING,12,0
0950-9232,ONCOGENE,377,0
0737-4038,MOLECULAR BIOLOGY AND EVOLUTION,956,0
0014-5793,FEBS LETTERS,394,0
1945-0877,SCIENCE SIGNALING,51,0
0167-4889,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,37,0
1063-5157,SYSTEMATIC BIOLOGY,420,0
