,TITLE,ISSN,2017
45,Hokkaido Mathematical Journal,0385-4035,0.003976143141153081
57,Computational Intelligence and Neuroscience,1687-5265,0.007657945118059987
47,Journal of Medical Imaging and Health Informatics,2156-7018,0.009828674481514879
51,Interdisciplinary Sciences-Computational Life Sciences,1913-2751,0.011759935117599351
7,Evolutionary Bioinformatics,1176-9343,0.012359241966492723
29,Computational and Mathematical Methods in Medicine,1748-670X,0.01505554025520977
28,Current Bioinformatics,1574-8936,0.0159934385892967
52,IEEE Journal of Biomedical and Health Informatics,2168-2194,0.023653749370910918
50,Journal of Bioinformatics and Computational Biology,0219-7200,0.02628755364806867
41,International Journal of Biostatistics,2194-573X,0.02992518703241895
20,International Journal of Biomathematics,1793-5245,0.030843373493975906
8,Frontiers in Computational Neuroscience,1662-5188,0.03088860702827725
12,JOURNAL OF MOLECULAR GRAPHICS & MODELLING,1093-3263,0.03279944289693593
33,Statistics and Its Interface,1938-7989,0.03400093153237075
36,Molecular Informatics,1868-1743,0.03637884173113109
